target_file,foil_file,foil_type,phit,dprime
Sandwichww.jpg,04922349088.jpg,foil_B,0.88,1.661710287
Aredapple5.jpg,049881410001.jpg,foil_B,0.82,1.294524324
caddycaddy.jpg,06 DP Horseshoe_wback.jpg,foil_B,0.89,1.734553726
APACKME32.jpg,060621160348s.jpg,foil_B,0.920792079,1.994631493
francisfrancisx1-coffee-maker.jpg,100778.jpg,foil_B,0.92,1.987068054
cassette-tape-1.jpg,1342_bialy_large.jpg,foil_B,0.94,2.198781849
tapir-stamp_31.jpg,160_0057.jpg,foil_B,0.87,1.592978514
51wbushUphL._AA262_.jpg,1639-large.jpg,foil_B,0.891089109,1.742774728
ABELGFLAG.jpg,199bdf21-a774-40d1-ab0c-55f50090a670_300.jpg,foil_B,0.81,1.241529336
2000-4684_M.jpg,2003071700080406.jpg,foil_B,0.88,1.661710287
1383_1749_popup copy.jpg,2120B_blue_floral_handkerchief.jpg,foil_B,0.930693069,2.094410909
single flap.jpg,262597_fpx.jpg,foil_B,0.900990099,1.820382319
DSC00961.JPG,26388357.thl.jpg,foil_B,0.94,2.198781849
ABINOCU53.jpg,27collectibels_corset-743091.jpg,foil_B,0.92,1.987068054
79398-3-1-99.77F-K75-5-0013_320x320.jpg,3060324930_XL.jpg,foil_B,0.762376238,1.009689944
3ce51135-ecf8-4172-82d1-528e7fe6edf6_300.jpg,31FH4H8V33L._SS500_.jpg,foil_B,0.74,0.909827845
ATYPEWR46.jpg,31sCvjMS3jL._SS500_.jpg,foil_B,0.920792079,1.994631493
images-4898.jpg,35312253.thl.jpg,foil_B,0.86,1.527815655
BROOM.jpg,41K7QVRX50L._SS500_.jpg,foil_B,0.97029703,2.666058041
folding_bike_dahon.jpg,4600.jpg,foil_B,0.91,1.896106324
Salt_Pepper_Mills_Sets.jpg,465088.jpg,foil_B,0.91,1.896106324
AMOTH28.jpg,594.jpg,foil_B,0.831683168,1.358830226
B00005OONH.01.LZZZZZZZ.jpg,5965002_ra.jpg,foil_B,0.83,1.349393534
3D_Design_Toilet_Seat.jpg,647dd095-b0f5-4824-88a8-a457c0bb1f72_300.jpg,foil_B,0.85,1.46574537
swords_western_tizona_of_charles_v.jpg,69d21be1-3163-4aef-aacd-df4baeab9701_300.jpg,foil_B,0.9,1.812374214
folding_screens_retablo_d.jpg,7deb399f-d20d-417c-94df-20b613aa3743_300.jpg,foil_B,0.81,1.241529336
Agardeninghoe.jpg,9817230.thl.jpg,foil_B,0.98,2.90443828
AFIREPLA2.jpg,A4LEFTKEY.jpg,foil_B,0.9,1.812374214
Amanualfan16.jpg,A6DOMINO.jpg,foil_B,0.96,2.475845306
a00e7dbe-acad-41ed-b95d-6b5ffbbe4c9a_300.jpg,AA Luffield Radial crescent Desk 1600mm x 1200mm.jpg,foil_B,0.900990099,1.820382319
shears2.jpg,AALTIRE.jpg,foil_B,0.89,1.734553726
l_640045_s05_000.jpg,AANKEY.jpg,foil_B,0.900990099,1.820382319
saunders12530_RingBinder.jpg,ABELL31.jpg,foil_B,0.79,1.140451453
042_0013.jpg,ABIRDHO20.jpg,foil_B,0.96039604,2.482371237
Awickerbask21.jpg,ABONGO22.jpg,foil_B,0.841584158,1.415617141
Alunchbox115.jpg,Abottle52.jpg,foil_B,0.871287129,1.601613839
b2c_l_scd6550.jpg,Abottleopener.jpg,foil_B,0.861386139,1.536653747
Cherry-Pie.jpg,Abowl50.jpg,foil_B,0.96039604,2.482371237
Aroadsignin16.jpg,ACANDFLO3.jpg,foil_B,0.9,1.812374214
T3AM07.jpg,ACATPLAY5.jpg,foil_B,0.92,1.987068054
1078390905.jpg,ACOIN6.jpg,foil_B,0.94,2.198781849
040115_gadgets_razor_hmed10a.hmedium.jpg,Acookingpan6.jpg,foil_B,0.89,1.734553726
Spout_bottle_opener.jpg,Acushion13.jpg,foil_B,0.83,1.349393534
joy011.jpg,ADRESSE40.jpg,foil_B,0.77,1.044916677
AWIG73.jpg,ADUSTER5.jpg,foil_B,0.930693069,2.094410909
O-CRT-DU_lrg.jpg,AELCGUI12.jpg,foil_B,0.95,2.326175463
ehs.jpg,Agoldfishswi8.jpg,foil_B,0.87,1.592978514
replacementbulb2.jpg,AHANDBAG6.jpg,foil_B,0.95049505,2.332992362
ACHEESGR4.jpg,Akettle85.jpg,foil_B,0.86,1.527815655
Ultra-Short-pacific-blue400.jpg,ALEAF38.jpg,foil_B,0.87,1.592978514
tc1050b_500pix.jpg,ALOG6.jpg,foil_B,0.82,1.294524324
ALIGHTE24.jpg,Amug21.jpg,foil_B,0.93,2.087082892
132005.jpg,AOKA.jpg,foil_B,0.95,2.326175463
her9796.jpg,AORITABLS.jpg,foil_B,0.94,2.198781849
logitech-dinovo-edge.jpg,APAINTB34.jpg,foil_B,0.81,1.241529336
ACOOKPO14.jpg,APALMRTEE.jpg,foil_B,0.87,1.592978514
Amateur_ice_hockey_skates.jpg,APASTA.jpg,foil_B,0.920792079,1.994631493
APIESERV3.jpg,APDB.jpg,foil_B,0.84,1.406378944
ADOLL169.jpg,Apencilshar13.jpg,foil_B,0.9,1.812374214
hammernew03.jpg,APILLS8.jpg,foil_B,0.96,2.475845306
parfait.jpg,Apitcher25.jpg,foil_B,0.87,1.592978514
26461874.thl.jpg,AREDHAT4.jpg,foil_B,0.93,2.087082892
Avase106.jpg,Arollofstrin2.jpg,foil_B,0.85,1.46574537
perfume5-b.jpg,Aspraybottle5.jpg,foil_B,0.920792079,1.994631493
CashRegister.jpg,ASTOOL23.jpg,foil_B,0.79,1.140451453
41AWBNXQRML._AA262_.jpg,Baby_Stroller.jpg,foil_B,0.861386139,1.536653747
269-200613-_DSC0873.jpg,BirdCage-19-single-on-white.jpg,foil_B,0.762376238,1.009689944
small lilliput robot.jpg,Breeze_kayak_2.jpg,foil_B,0.851485149,1.474784189
AGLOBE8.jpg,cake-crop.jpg,foil_B,0.97029703,2.666058041
ocadia11if.jpg,clinom1.jpg,foil_B,0.84,1.406378944
AFRAME138.jpg,coat-tree.jpg,foil_B,0.82,1.294524324
popmech2.jpg,colgate.jpg,foil_B,0.95049505,2.332992362
ATRACTOR6.jpg,cracker.snack.bread.jpg,foil_B,0.94,2.198781849
AMUSICSTA.jpg,DCS315 Camera.jpg,foil_B,0.79,1.140451453
Abikini5.jpg,devilsblue986.jpg,foil_B,0.920792079,1.994631493
APLANT6.jpg,doll-house-4-7in.jpg,foil_B,0.81,1.241529336
AWSHOES4.jpg,draggold.jpg,foil_B,0.88,1.661710287
ROMSL1374.jpg,ecolution_collarS.jpg,foil_B,0.95049505,2.332992362
SleepingCherubOnShell32004.jpg,hawaiian_shirt_motorcycle_bk_pf.jpg,foil_B,0.94,2.198781849
AREDCOUC5.jpg,img_9246-muffin.jpg,foil_B,0.97029703,2.666058041
Abackpack31.jpg,img_door_knockers_NEM2207.jpg,foil_B,0.91,1.896106324
ALEI16.jpg,inflatable-tent.jpg,foil_B,0.91,1.896106324
a7b18beb-0ddd-4970-8618-53ccccd5950b_300.jpg,INGPCYHE0455.jpg,foil_B,0.95,2.326175463
PY2H1461.jpg,Jackson Wheelbarrow Produvt.jpg,foil_B,0.9,1.812374214
712_toothbrush.jpg,jd-bug-eco-scooter-blue.jpg,foil_B,0.74,0.909827845
ABOWARRO4.jpg,jp glove top.jpg,foil_B,0.98,2.90443828
Multimedia_Speakers.jpg,laptopnew04.jpg,foil_B,0.851485149,1.474784189
009.-trashcan_lrg.jpg,LM8R.jpg,foil_B,0.801980198,1.200272537
SimplyChickHeadband32.jpg,master-TD006.jpg,foil_B,0.91,1.896106324
Brass scales uid.jpg,MicrosoftTreoH4Web.jpg,foil_B,0.920792079,1.994631493
230397853.jpg,motorola c115-thumb.jpg,foil_B,0.881188119,1.670140067
9001.jpg,n_sf_1666.jpg,foil_B,0.73,0.866648287
AFISHLU5.jpg,nunchaku2.jpg,foil_B,0.85,1.46574537
AROCK9.jpg,p2363441dt.jpg,foil_B,0.920792079,1.994631493
necklascenew04.jpg,p2740000dt.jpg,foil_B,0.920792079,1.994631493
M4791.jpg,p2796972dt.jpg,foil_B,0.86,1.527815655
7264122_ra.jpg,p3677539dt.jpg,foil_B,0.930693069,2.094410909
